trade_id,direction,entry_time,exit_time,buy_price,sell_price,profit,pnl
384,LONG,47120,47130,665.004,676.144,11.14,241.359
385,LONG,47180,47190,705.322,699.611,-5.71102,235.648
386,LONG,47190,47200,699.578,703.581,4.00301,239.651
387,LONG,47500,47510,674.854,680.984,6.13023,245.782
388,LONG,47540,47550,669.872,689.836,19.964,265.746
389,LONG,47580,47590,687.366,693.158,5.79124,271.537
390,LONG,47670,47680,690.159,681.929,-8.23015,263.307
391,LONG,47720,47730,681.195,694.156,12.961,276.268
392,LONG,47770,47780,705.696,705.884,0.188458,276.456
393,LONG,48020,48030,801.001,778.392,-22.6091,253.847
394,LONG,48100,48110,798.026,809.665,11.6393,265.486
395,LONG,48430,48440,736.614,722.301,-14.3132,251.173
396,LONG,48510,48520,754.264,740.31,-13.9537,237.219
397,LONG,48620,48630,749.474,769.523,20.0499,257.269
398,LONG,48670,48680,710.709,711.265,0.556386,257.826
399,LONG,48930,48940,671.881,675.162,3.28035,261.106
400,LONG,49100,49110,710.354,709.896,-0.457462,260.649
401,LONG,49300,49310,660.146,662.738,2.59202,263.241
402,LONG,49760,49770,630.732,626.892,-3.84003,259.401
403,LONG,49800,49810,635.189,625.375,-9.81419,249.586
404,LONG,49940,49950,637.881,631.398,-6.48243,243.104
405,LONG,50010,50020,678.183,673.269,-4.91441,238.19
406,LONG,50120,50130,737.857,755.736,17.8797,256.069
407,LONG,50320,50330,799.912,805.236,5.32433,261.394
408,LONG,50340,50350,796.918,775.783,-21.1348,240.259
409,LONG,50480,50490,753.985,760.162,6.17702,246.436
410,LONG,50510,50520,785.196,791.919,6.72358,253.159
411,LONG,50610,50620,749.752,717.663,-32.0884,221.071
412,LONG,50670,50680,691.425,690.989,-0.435644,220.635
413,LONG,50790,50800,663.885,654.883,-9.00238,211.633
414,LONG,50900,50910,740.864,722.895,-17.9693,193.664
415,LONG,50910,50920,722.863,726.985,4.12261,197.786
416,LONG,51060,51070,762.224,765.775,3.55107,201.337
417,LONG,51260,51270,816.731,819.232,2.50106,203.838
418,LONG,51360,51370,816.71,793.328,-23.3822,180.456
419,LONG,51400,51410,865.703,888.8,23.0975,203.554
420,LONG,51520,51530,841.588,850.297,8.7084,212.262
421,LONG,51610,51620,785.298,775.624,-9.67368,202.588
422,LONG,51620,51630,775.592,795.957,20.3656,222.954
423,LONG,51660,51670,800.052,776.327,-23.725,199.229
424,LONG,51810,51820,835.535,845.47,9.9349,209.164
425,LONG,51820,51830,845.437,879.406,33.9691,243.133
426,LONG,51990,52000,883.494,884.074,0.57967,243.713
427,LONG,52020,52030,883.908,879.505,-4.40273,239.31
428,LONG,52140,52150,865.414,878.293,12.8793,252.189
429,LONG,52270,52280,1019.79,1038.58,18.7881,270.977
430,LONG,52360,52370,1128.47,1107.47,-21.0003,249.977
431,LONG,52630,52640,1060.54,1045.81,-14.7318,235.245
432,LONG,52660,52670,1072.25,1012.39,-59.8563,175.389
433,LONG,52890,52900,1220.38,1176.05,-44.3285,131.06
434,LONG,52910,52920,1223.31,1206.76,-16.5501,114.51
435,LONG,53030,53040,1242.67,1266.14,23.4681,137.978
436,LONG,53040,53050,1266.11,1279.39,13.2867,151.265
437,LONG,53120,53130,1232.59,1191.47,-41.1113,110.154
438,LONG,53160,53170,1164.15,1162.58,-1.56751,108.586
439,LONG,53260,53270,1200.68,1216.06,15.3785,123.965
440,LONG,53280,53290,1208.23,1238.39,30.1624,154.127
441,LONG,53320,53330,1220.98,1233.03,12.045,166.172
442,LONG,53400,53410,1328.67,1339.24,10.5672,176.74
443,LONG,53480,53490,1315.79,1308.67,-7.1291,169.61
444,LONG,53710,53720,1362.53,1386.95,24.4244,194.035
445,LONG,54000,54010,1363.3,1382.77,19.4692,213.504
446,LONG,54050,54060,1282.3,1331.46,49.1653,262.669
447,LONG,54210,54220,1327.78,1312.83,-14.9589,247.71
448,LONG,54340,54350,1386.26,1388.31,2.04275,249.753
449,LONG,54400,54410,1384.73,1336.82,-47.9045,201.849
450,LONG,54410,54420,1336.79,1342.51,5.72076,207.569
451,LONG,54600,54610,1250.05,1221.66,-28.3857,179.184
452,LONG,54680,54690,1239.56,1239.98,0.416882,179.601
453,LONG,54720,54730,1282.15,1307.98,25.8274,205.428
454,LONG,54870,54880,1357.97,1323.57,-34.4072,171.021
455,LONG,54970,54980,1325.63,1314.36,-11.2766,159.744
